kar,rus
Vuozispäi 1990 Aleksandr Lukič on Karjalaine sana -kirjuttajien yhtymän piälikkö,C 1990-х годов Александр Лукич руководит литературным объединением «Карельское слово»
Vuvvespäi 2000 liittyi Ven'an kirjuttajien liittoh,С 2000 года — член Союза писателей России
Volkov kiändi karjalakse A,Волков — автор переводов на карельский
"Vuvvennu 2001 hänen Vellen syväin -kniigu sai diploman ""Karjalan tazavallan vuvven kniigu"" da Karjalan tazavallan piälikön palkinnon",В 2001 году его книга «Сердце брата» удостоена диплома «Книга года Республики Карелия» и премии Главы Республики Карелии
Vuozinnu 1999-2001 oli Karjalan Rahvahan Liiton piälikkönny,В 1999—2001 годах возглавлял Союз карельского народа
Sammon-palkinnon laureattu,Лауреат премии «Сампо»
Aleksandr Vasil’jevič Suvorov,Александр Васильевич Суворов
"Ven’an muan- da merienvoimien generualissimus, Avstrien da Sardien voimien generualu-fel’dmuaršualu, oman aijan kai Ven’an da monien ulgopuolien mualoin miehien kunnivomerkilöin suaju","генералиссимус русского сухопутного и морского флота, генерал-фельдмаршал австрийского и сардинского флота, кавалер всех российских орденов, вручавшихся мужчинам, а так же ряда иностранных."
Suvorov oli roinnuhes generualu-anšefu Vasilii Ivanovič Suvorovan perehes (tarkua roindupäivän vuottu nikel ei ole tiettävy),Родился в семье будущего генерал-аншефа Василия Ивановича Суворова (год рождения достоверно не известен)
Aleksandr Suvorovan tuatto oli kovasydämelline peitolline kansel’uarien ruadai,Отец Александра Суворова был жестоким деятелем тайной канцелярии
"Lippuzes Suvorov kirjutti omas roindas vuonnu 1730, ga omaeloskerras kirjutti, gu häi meni armieh vuonnu 1742, konzu hänele täytyi 15 vuottu","В собственноручной записке Суворов указал год рождения 1730, а в автобиографии — что поступил на службу в 15 лет и было это в 1742 году"
"Aleksandran tuatto, Vasilii Ivanovič Suvorov oli Pedrun I ristinpoigu da enzimäzen ven’alazen vojennoin sanakniigan luadii","Отец Александра, Василий Иванович Суворов, был крестником Петра I и автором первого русского военного словаря"
Sugulegendan mugah Suvorovat on vahnu ruoččilaine aristokruattilline sugunimi,"По родословной легенде, Суворовы происходят от древней шведской благородной фамилии."
"Iče Aleksandr Suvorov kirjutti omaeloskerras, gu hänen tuattolointuatto tuli Ven’ah vuonnu 1622","Как утверждал сам Суворов в автобиографии, выехал в Россию в 1622 году"
"Suvorovan muamo oli Avdot’ja (Jevdokija) Feodosjevna Suvorova, neijistysaigah Manukova","Мать Суворова — Авдотья (Евдокия) Феодосьевна Суворова, в девичестве Манукова"
Hänes on säilytetty ylen vähän tieduo,О ней сохранилось крайне мало сведений
Suvorovan perehen dovariššu da Aleksandran Puškinan died’oin tuatto generualu Abram Gannibal vaikutti Suvorovan ozah,друг семьи Суворовых и прадед Александра Пушкина Абрам Ганнибал оказал большое влияние на Суворова
"Häi oli nähnyh, gu kižates tinasaldattoinke Aleksandr ylen hyvin ellendäy voijennoloi tegoloi, da nevvoi hänen tuatale andua poijan armieh","Заметив, что во время игры в солдатики Александр неплохо разбирается в тактических сложностях манёвра, он посоветовал отцу, чтобы тот избрал для сына военную карьеру."
Vuonnu 1754 Suvorov sai poručikan virguarvo da oli pannuh Ingerin jalguvägipolkah,В 1754 году Суворов был произведён в поручики армии и назначен к службе в Ингерманландский пехотный полк
1756 – 1758 vuozien aigah häi sluuži Vojennoikunnas,С 1756 по 1759 год занимался вопросами снабжения армии и её комплектования
Vuonnu 1758 Aleksandr rubei sluužimah armies da oli miärätty Memel’an komendantannu,в 1758 году Александр начал служить в армии и был назначен комендантом Мемеля
Pol’šan voinan jälles (1769-1772) Suvorov lähti Suomeh Ruočin rajan kaččelemah da lujendamah,После польской кампании Суворов был отправлен в Финляндию для инспекции и укрепления границы со Швецией
"Häi lujendi ei vaigu Vil’manstrand linnan Lappeenrannas, ga vie kai rajan lujitandupaikat","Укреплял не только крепость Вильманстранд, в городе Лаппеэнранта, но и все приграничные укрепления"
Jo vuonnu 1773 sulakuus häi otti ozua ven’alais-turkilazes voinas (1768-1774) da piäzi fel’dmuaršalu P,Но уже в апреле 1773 года он добился назначения на театр русско-турецкой войны 1768—1774 годов в 1-ю армию фельдмаршала П
"Toizen ven’alais-turkilazen voinan aigah jo generualannu Suvorov sai voittua Kinburnas (1787) da Očakovan lähel (1788), kus häi pergoi kai turkilastu armiedu","С началом русско-турецкой войны годов генерал Суворов одержал верх в Кинбурне (1787) и около Очакова (1788), где были разбиты турецкой армией"
"Bessarabian kampanian aigah häi otti Izmail - lujeviman turkilazen linnan (1790, oraskuu)",Во время Бессарабской кампании он взял Измаил - самую крепкую турецкую крепость (1790)
Vuonnu 1794 händy työnnettih pol’šalazien vägivastustuksen alevuttamah,В 1794 году его отправили для подавления польского бунта
Aleksandr Suvorov oli Ekaterinan II armahin polkienpiälikkö,Александр Суворов был одним из самых излюбленных полководцев Екатерины 2
Hänele pidi perävyö iäre,Ему пришлось отступить
Terväh Suvorov Ven’an armien kel kiändih omah muah,Вскоре Суворов с русскими войсками возвратился на родину
Polkienpiälikkö kuoli vuonnu 1800,Полководец умер в 1800 году
Häi oli havattu Aleksandro-Nevskoin lavran alahazes Blahoveščenskois kirikös,Был погребен в нижней Благовещенской церкви Александро-Невской лавры
"Ulgomualazet äijän kirjutettih ven’alazen polkienpiälikön omaluadužuksih näh: «Suvorov murginoiččou huondeksel, illastau päiväl, maguau illal, oza yödy pajattau, a päivännouzul kävelöy vähiä vajai alastomannu libo vierettelih heinäs, da ajattelou, gu nämä tevot parandetah hänen tervehytty – sanou gertsougu Rišel’je","Иностранцы много писали о чудачествах русского полководца: «Суворов обедает утром, ужинает днём, спит вечером, часть ночи поёт, а на заре гуляет почти голый или катается в траве, что, по его мнению, очень полезно для его здоровья», — свидетельствовал герцог Ришельё."
Suvorov äijiä tiezi voinan dielos da monis toizis tiedolois,Суворов много знал о военном деле и о ряде других дисциплин
"Häi jätti suurdu vojennoi-teouriellistu da praktiekallistu perindyö, keksi uuziloi vojennoin dielon yhtehvedoloi da aksiomoi","Он оставил большую военно-теорёгическую и практическую традицию, развил лексикон военного дела и аксиоматику"
Aleksandro-Nevskoi soboru (Petroskoi),Собор Александра Невского (Петрозаводск)
Aleksandro-Nevskoi soboru on nostettu 1774 vuvvel,Собор Александра Невского () построен в 1774 году
"Konzu jo meni 50 vuottu Aleksandr-Nevskoin jiännöksil, net piätetth siirdiä uudeh kohtah","Когда собор Александра Невского простоял уже 50 лет, его решили перенести на новое место"
Sinne oli rakendettu Aleksandro-Nevskoi manasteri,Туда был перенесён монастырь Александра Невского
"Zavodu ruadoi, sinne kerävyi äijy eläjiä, nygöi pideli rakendua uuzi kirikkö, ku rahvas voidas sinne kävvä molimahes Jumalal","Стал завод работать, там собралось много людей, теперь надо было построить новую церковь, чтобы люди могли ходить туда молиться Богу"
Aleksis Kivi (oigei nimi Alexis Stenvall) (10,Алексис Киви (настоящее имя Алексис Стенвалль)
"Häi on tundiettu enne kaikkie kanzallisromuanan stuatussan suannuos romuanas ""Seiččie vellesty"" (1870), ozutelmis ""Nummisuutarit"" (1864) da runolois","Он был известен прежде всего романами ""Семеро братьев"" (1870), пьесой ""Сапожники Нумми"" и поэзией"
Kivi oli enzimäine suomelaine ammattikirjailii,Киви был первым профессиональным финским писателем
Sir Alfred Džozef Hitčkok,Сэр Альфред Джозеф Хичкок
Vuodessah 1939 häi ruadoi Brituanies da Yhtysvallois,В 1939 году уехал из Британии в США
"Hichcock on kino-ohjuaju, kuduan nimi yhtistetäh trilleru-kinolajih","Хичкок был кинорежиссёром, большинство фильмов относится к жанрам триллера"
Omis fil’mois häi maltoi luadie rauhattomua atmosfierua,создавал в своих фильмах тревожную атмосферу
"Hitčkok sai Ameriekan kinoinstituutan palkindon, a kuningatar Elizabeth I sanoi hänet ritarikse","Хичкок получил почётную награду Американского института кино, а королева Елизавета I посвятила его в рыцари"
Alfred Hitčkok oli roinnuhes The High Road –uuličal Londonan linnanymbäristös Leitonstounas,Альфред Хичкок родился на улице The High Road в лондонском пригороде Лейтонстоуне
Hänen tuatto ruadoi myijänny,Его отец был бакалейщиком
"Hitčkok ohjuai 55 täyzipitkiä fil’mua, monet kudualois ollah muailman kinon kluasiekannu","Хичкок снял 55 полнометражных кинофильмов, многие из которых стали классикой мирового кинематографа"
Sidä paiči Alfred Hitčkok ohjai 21 filmua,"Кроме того, Альфред Хичкок снял ещё и 21 телефильм"
Kaksi fil’mua ei ole lopiettu,два фильма остались незавершёнными
"Hitčkok suvaičči iče ozutella omis fil’mois, enne kaikkie jägimäzis fil’mois","Хичкок любил сам играть в своих фильмах, особенно в поздних работах"
"Huomatah, ku ohjuaju suvaiččou andua piäroulit “kylmile” valgeitukkazile naizile (Marlene Dietrich, Grace Kelly, Vera Miles, Kim Novak)","Было замечено и фирменное пристрастие Хичкока снимать в главных ролях «холодных» блондинок (Марлен Дитрих, Грейс Келли, Вера Майлз, Ким Новак)"
Holliwoodan kunnivokävelykujoh on azutettu Alfred Hitčkokan nimizen tiähti,В Голливудской аллее славы установлена звезда в честь Альфреда Хичкока
"Leitonstoun-nimezes metroazeman seinis on pandu 17 mozuajikkua, kuduat ozutetah fragmentoi Hitchcockan fil’mois","На стене станции метро Лейтонстоун были выложены 17 мозаик, которые представляют фрагменты из фильмов Хичкока"
"Alkogoulijuomine on juomine, kuduas on etanolua (etiiluspirtu, alkogouli)","Алкогольный напиток - напиток, содержащий этанол (этиловый спирт, алкоголи)"
"Alli (""Clangula hyemalis"") on lindu",Аллейка (Clangula hyemalis) — это утка
Nägö da kogo,Внешний вид
Siibien agjuväli: 65-82 cm,Размах крыльев: 65-82 см
Alvar Aalto,Алвар Аалто
Alvar Hugo Henrik Alto,Алвар Хуго Хенрик Аалто
"Alto on ""modernizman tuatto"" Pohjazes Jevroupas","Известен как ""отец модернизма"" в Северной Европе"
Eloskerdu,биография
"Vuvvennu 1916 piäzi Gel'singforsan Politeknillizeh instituuttah, kus händy opastui Armas Lindgren","В 1916 году поступил в Политехнический институт города Гельсингфорса, где учился у Армаса Линдгрена"
"Alžir (Alžiran Rahvahan Demokrattine Tazavaldu) on valdivo Pohjazes Afriekas Välimeren basseinan päivänlaskupuoles, suurin Afriekan valdivo","Алжир (Алжирская Демократическая Республика) — государство в Северной Африке в западной части Средиземноморского бассейна, крупнейшее по территории африканское государство"
"Alžiran päivänlaskupuoles on Marokko, lounazes — Mavritanii da Mali, liidehes — Nigeru, päivännouzupuoles — Livii da Tunisu","Алжир граничит с Марокко на западе, на юго-западе — с Мавританией и Мали, на юго-востоке —  с Нигером и на востоке — с Ливией и Тунисом"
Alžiran suurin oza on Sahara-hiekkumual,Бо́льшая часть территории страны лежит в пустыне Сахара
Piälinnu on Alžiran linnu,Столица — город Алжир
Muan pinduala on 2 381 740 km²,Площадь составляет 2 381 740 км²
Sie eläy (vuvven 2014 tiedoloin mugah) 38 813 722 hengie,Там живёт (по данным за 2014 год) 38 813 722 человека
Amblyraja,Тёмные колючие скаты
Amblyraja on rauskoin heimoh kuului kalasugu,Темные колючие скаты — это род скатов семейства ромбовых отряда скатообразных
Amerikanhuabalo,Американская свиязь
"Amerikanhuabalo (""Anas americana"") on sorzien heimoh kuului lindu",Американская свиязь (Anas americana) — речная утка семейства утиных
Kogo da nägö,Внешний вид
Siibien agjuväli:76-91 cm,Размах крыльев: 76-91 см
Amerikanjiäguikku,Черноклювая гагара
Amerikanjiäkuikku libo amerikanjiäguikku () on kuikkien heimoh kuului lindu,Черноклювая гагара — птица из рода гагар
Se on Kanuadan kanzallislindu,Это национальный символ Канады
Pezindy,Внешность
Amerikanjiäkuikku muniu kaksi jäiččiä,Черноклювая гагара несёт два яйца
Uročču da emäččy havvotah jäiččii yhtes 24-29 päiviä,Самка высижывает яйца 24-29 дней
Poigazet opastutah lendämäh 70-77 päivän ijäs,Детёныши учатся летать в возрасте 70-77 дней жизни
"Amerikanjiäkuikku peziy Pohjas-Amerikan pohjasvuittilois, a talvehtiu sežo Päivänlasku-Europas","Черноклювая гагара обитает в Северной Америке, зимует в прибрежной морской зоне Западной Европы"
Suomes se on harvinaine gost'u,В Финляндии это редкостный гость
"Andorra, virralline nimi on Andorran Ruhtinaskundu on yksi pienis Jevroupan valdivoloispäi","Андорра (), полное официальное название — Княжество Андорра — княжество, одно из карликовых государств Европы"
Se on syväinmuavaldivo (se ei ole meren rannal),Оно внутреннее (не имеет выхода к морю)
"Muan nimi tulou baskiloin kielen sanaspäi ”andurrial”, kudai merkiččöy tyhjiä muadu","Название страны происходит от слова andurrial, что означает «земля, покрытая кустарником»"
"Muan peruszakonan mugah virralline kieli on katalonien kieli, ga rahvas paistah sežo ispuanien da vähän frantsien kielel","По Конституции страны, официальным языком является каталанский, распространены также испанский и немного французский языки"
Andorran pinduala on 468 km²,Территория Андорры составляет 468 км²
Rahvahan lugumiäry on 71 732 hengie,Число населения - 71 732 человек
Andrei Tarkovskii,Андрей Тарковский
"Andrei Arsenjevič Tarkovskii (Андре́й Арсе́ньевич Тарко́вский, 4",Андрей Арсеньевич Тарковский
Händy pietäh yhtenny muailman merkittävimis kinoloin luadijois,Его считают одним из самых влиятельных режиссёров кино
Angola (Angolan Tazavaldu) on valdivo suvizes Afriekas,Ангола (Республика Ангола) — государство в Южной Африке
"Sen rajamuat ollah Namibii - suves, Kongon Demokruatilline Tazavaldu – koillizes da pohjazes, Zambii da Kongon Tazavaldu – päivännouzupuoles","на юге граничит с Намибией, с Демократической Республикой Конго —  на северо-востоке и севере, с Замбией и Республикой Конго — на востоке"
Angolan päivänlaskupuoles on Atlantan valdumeri,С запада Ангола омывается Атлантическим океаном
Angola on endine Portugalien siirdomua,Ангола — бывшая португальская колония
Angolan nimen muale andoi sen enzimäine prezidentu Agostinjo Neto,Ангола получила своё название от первого президента Агостиньо Нето
Nimi kiännetäh kui ”ruskei rouzu”,Название расшифровывается как «красная роза»
Muan pinduala on 1 246 700 kvadruattukilometrii,площадь земли —  1 246 700 квадратных километров
Angolas eläy (vuvven 2015 tiedoloin mugah) 22 565 986 hengie,Анголу населяет (по данным 2015 года) 22 565 986 человека
Angolan piälinnu on Luanda,Столица Анголы — Луанда
"Animacii (, elävöittämine) on tehniekku, kudamas kino todevutetah kuva kuval",Анимация  (одушевление) — технические приёмы создания иллюзии движущихся изображений
"Animacien voibi luadie kuvuamal fil'male piirrettylöi kuvii pienien muutoksienke libo azujen pienii muutoksii fiiziellizeh mallih (ezimerkikse azutekseh, animaciityttih libo vahah) da fotokuvuamal muutokset","Анимация может создать для художественного фильма рисованные картины с небольшими изменениями или сделать небольшие изменения в формате (в образе, переходах или форме) и в фотографической трансформации"
Animacii voijah todevuttua sežo tiedokonehenvuoh,Анимации можно создать с помощью компьютера
Animacien histourii,История анимации
"Iranas Šahr-e Sukhtehan linnas enämbi nellän tuhanden vuvven tagua on lövvetty savimal'l'u, kudaman pinnale oli mualattu koza liikkehen eri vaihielois",Размечать
"Blackton luadi samannu vuvvennu sežo enzimäizenny varzinazennu mul'tifil'mannu pietyn ""Humorous Phases of Funny Faces"" -fil'man","В том же году Блёттон выпустил первый мультфильм, юмеющий название «Комические фазы смешных лиц»"
Karikaturistannu aloittanuh Émile Cohl oli yksi francielazen animacien perustajis,Карикатурный художник Эмиль Коль был одним из основателей французской анимации
"Nevvostoliitos kehitettih omaluaduine, pehmei taba kuvata liikehty, kudamas tuli muan animacien tunnusmerki","В Советском Союзе разработали своеобразный, плавный способ изображения движения, который стал отличительной чертой отечественной анимации"
Animaciitehniekkoi on monenluadustu da niilöi voi sežo yhtistellä,"Существует многообразие анимационных техник, их даже можно комбинировать"
